2023-04-20 22:18:32:捕获线程内未处理异常：未通过等待任务或访问任务的 Exception 属性观察到任务的异常。因此，终结器线程重新引发了未观察到的异常。
2023-04-20 22:18:55:捕获未处理异常:DialogHost is already open.
2023-04-20 22:20:39:捕获未处理异常:DialogHost is already open.
2023-04-20 22:20:45:捕获未处理异常:DialogHost is already open.
2023-04-20 22:20:50:捕获未处理异常:DialogHost is already open.
2023-04-20 22:20:54:捕获未处理异常:DialogHost is already open.
2023-04-20 22:21:09:捕获未处理异常:DialogHost is already open.
2023-04-20 22:21:13:捕获未处理异常:DialogHost is already open.
2023-04-20 22:21:13:捕获未处理异常:DialogHost is already open.
2023-04-20 22:21:16:捕获未处理异常:DialogHost is already open.
2023-04-20 22:21:16:捕获未处理异常:DialogHost is already open.
2023-04-20 22:21:21:捕获未处理异常:DialogHost is already open.
2023-04-20 22:21:29:捕获未处理异常:DialogHost is already open.
2023-04-20 22:21:32:捕获未处理异常:DialogHost is already open.
2023-04-20 22:21:35:捕获未处理异常:DialogHost is already open.
2023-04-20 22:21:42:捕获未处理异常:DialogHost is already open.
2023-04-20 22:21:47:捕获未处理异常:DialogHost is already open.
2023-04-20 22:21:54:捕获未处理异常:DialogHost is already open.
2023-04-20 22:22:05:捕获未处理异常:DialogHost is already open.
2023-04-20 22:31:56:捕获未处理异常:DialogHost is already open.
2023-04-20 22:33:11:捕获未处理异常:DialogHost is already open.
2023-04-20 22:33:14:捕获未处理异常:DialogHost is already open.
